scenario,time,std
1,2264777778,142344457
2,1645000000,197824417
3,3957888889,295673149
4,3069777778,243768219
5,1838555556,84460214
6,1311222222,59139196
7,1846888889,50466435
8,1868444444,37650070
9,4277222222,37053265
10,2506222222,238696344
11,3492888889,258715309
12,3830333333,150401961
13,11111000000,81301906
