scenario,time,std
1,8777778,1641476
2,6222222,440959
3,9444444,1333333
4,8000000,0
5,6000000,0
6,5111111,333333
7,5333333,500000
8,5333333,500000
9,5222222,440959
10,7222222,440959
11,7222222,440959
12,9444444,527046
13,10222222,1092906
